"ASV","s.control_high","s.control_low","s.pd_high","s.pd_low","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"7ba07d9f4e22c332b04d5646fe2ea051",1,0,1,0,6,0.484772796846229,0.005,"d__Bacteria","p__Verrucomicrobiota","c__Lentisphaeria","o__Victivallales","f__vadinBE97","g__vadinBE97","s__uncultured_bacterium"
"8408059b62784f6a2740d42ac2aa1069",0,0,1,0,3,0.331907036732293,0.04,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Solobacterium","s__uncultured_bacterium"
"67ee7d8563bb02d0d54f077807ea5ecb",0,0,0,1,4,0.294883912309794,0.045,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Megasphaera",NA
"6ca83bb8d84d22ff21607c96e42f4295",1,0,1,0,6,0.450817946721801,0.015,"d__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Puniceicoccaceae","g__uncultured","s__uncultured_bacterium"
"ecb427bf4473bf2f3205b06132125d07",1,0,1,0,6,0.394314568483384,0.01,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Howardella",NA
"dc04cb67b3295173275e20a8a7a3d16a",1,0,1,0,6,0.393617260681199,0.02,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__uncultured","s__gut_metagenome"
"a3d1f4355f204d4d49ad2bea3b801265",1,1,1,0,11,0.466041910016275,0.02,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerosporobacter","s__uncultured_organism"
"506aa1d680b6d3ca57043bc799d377f6",1,1,1,0,11,0.720115924401959,0.015,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-004",NA
"378abaddaee3a4538b1fd63920da5092",0,0,1,1,10,0.375904705778056,0.045,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Hungatella",NA
